customer_id,order_id,customer_name,email,phone,city,region,customer_segment,product_category,product_name,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,order_date,delivery_date,satisfaction_score,is_vip,consent_flag,source_system,last_update,secondary_email,notes
C10072,O200627,Imane Rahmani,imane.rahmani43@outlook.com,+212667468071,RBT,Rabat-Sale-Kenitra,Enterprise,Home,Chair,4,1407.77,0,5631.08,cash,pending,2025-01-22,23/01/2025,,No,True,MobileApp,2025/02/20 01:19:00,,Late delivery complaint
C10030,O200978,Sara Jabri,sara.jabri88@outlook.com,+212631586923,,Souss-Massa,Enterprise,Home,Lamp,1,221.04,0,221.04,wallet,Pending,2026/02/17 16:19:00,2026/02/26 16:19:00,2,Y,No,WebShop,18/02/2026,,
C10315,O201102,Samir Bennani,samir.bennani65@outlook.com,+212616846022,oujda,Oriental,Enterprise,Fashion,T-Shirt,2,1287.33,0,2574.66,Cash,PENDING,2025/12/25 02:11:00,2026-01-02,,0,N,WebShop,12-30-2025,,
C10066,O200567,Amine Tazi,amine.tazi21@gmail.com,+212606797403,MARRAKECH,Marrakesh-Safi,SME,Beauty,Cream,3,3634.79,20,8723.5,Card,returned,19/12/2025,29/12/2025,4,No,Y,CRM_B,2026-01-17,,VIP client
C10012,O201165,Youssef Boukili,youssef.boukili3@yahoo.com,+212615430391,agadir,Souss-Massa,Enterprise,Electronics,Headphones,1,4472.41,0,4472.41,CARD,DELIVERED,03-19-2025,2025-03-26,1,1,No,ERP_A,23/03/2025,,
C10305,O200282,Khadija Sahli,khadija.sahli88@gmail.com,+212603579727,Khouribga  ,Beni Mellal-Khenifra,SME,Home,Shelf,1,3897.54,20,3118.03,wallet,Delivered,23/02/2026,2026-02-28,1,Yes,N,ERP_A,2026-02-23,,
C10170,O200486,Mehdi Tazi,mehdi.tazi91@company.ma,+212637575844,Tangier,Tangier-Tetouan-Al Hoceima,SME,Fashion,T-Shirt,5,1567.76,10,7054.92,wallet,pending,2025-13-40,07-28-2025,,Y,False,ERP_A,2025/07/27 13:00:00,,
C10239,O201082,Mehdi Labser,mehdi.labser18@gmail.com,+212660422325,Tangier,Tangier-Tetouan-Al Hoceima,Enterprise,Beauty,Cream,2,4293.04,10,7727.47,Wallet,pending,29/11/2025,2025-11-30,3,N,False,WebShop,12-07-2025,,
C10276,O200032,Rania Sahli,rania.sahli73@company.ma,+212685642059,oujda,Oriental,Retail,Electronics,Headphones,-1,4307.58,20,13784.26,transfer,Delivered,2025/03/31 14:07:00,09/04/2025,,No,True,MobileApp,2025-04-10,,VIP client
C10083,O200206,Aya Idrissi,aya.idrissi57@gmail.com,+212624005045,Rabat,Rabat-Sale-Kenitra,Student,Home,Desk,5,3567.31,0,17836.55,cash,Returned,31/02/2025,05/01/2026,,No,Yes,WebShop,30/12/2025,,VIP client
C10096,O200647,Karim Bennani,karim.bennani8@company.ma,+212664317139,Agadir,Souss-Massa,Enterprise,Beauty,Cream,1,4558.16,10,4107.34,Transfer,pending,2026-02-16,2026-02-19,,0,Yes,WebShop,03-15-2026,,
C10231,O200671,Omar Tazi,omar.tazi24@gmail.com,+212652866929,Tanger,Tangier-Tetouan-Al Hoceima,Student,Home,Desk,5,2147.44,10,9663.48,COD,Delivered,02-11-2026,17/02/2026,4,Y,True,MobileApp,2026/03/12 14:17:00,,VIP client
C10006,O200425,Meryem Labser,meryem.labser99@company.ma,+212603056413,Fez,Fes-Meknes,Student,Electronics,Phone,1,2527.44,20,2021.95,card,Pending,09-06-2025,2025/09/11 01:10:00,,0,N,ERP_A,2025-09-10,meryem.labser99@company.ma,
C10006,O201079,Meryem Labser,meryem.labser99@company.ma,+212603056413, fes,Fes-Meknes,Retail,Home,Shelf,1,3709.72,0,3709.72,Wallet,pending,01-09-2025,2025-01-17,5,N,Y,ERP_A,21/01/2025,,
C10181,O201020,Mehdi Mansouri,mehdi.mansouri18@outlook.com,+212672795687,Fes,Fes-Meknes,Student,Home,Lamp,3,89.27,0,267.81,Credit Card,PENDING,2025/05/19 06:46:00,2025-05-22,,Yes,N,MobileApp,06-08-2025,backup@example.com,
C10111,O200874,Omar Mansouri,omar.mansouri37@gmail.com,,Khouribga,Beni Mellal-Khenifra,Enterprise,Beauty,Cream,1,1275.92,0,1275.92,Cash,Returned,2025-01-05,2025/01/08 18:28:00,4,Y,True,WebShop,2025-01-11,omar.mansouri37@gmail.com,
C10333,O200747,HAMZA EL FASSI,hamza.el85@yahoo.com,+212637562890,Rabat,Rabat-Sale-Kenitra,SME,Fashion,Shoes,1,3831.23,0,3831.23,eWallet,pending,01/04/2025,2025/04/06 03:05:00,,Yes,No,WebShop,2025-04-20,,
C10247,O200328,Meryem Bennani,meryem.bennani41@gmail.com,+212654262218,RABAT,Rabat-Sale-Kenitra,Student,Electronics,Phone,3,502.33,0,1506.99,cash,RETURNED,01-05-2025,2025-01-10,3,No,Y,ERP_A,02/02/2025,,Address unclear
C10094,O200313,Rania Bennani,rania.bennani69@outlook.com,+212626758692,RBT,Rabat-Sale-Kenitra,Student,Home,Desk,5,4719.04,0,23595.2,cash,Pending,28/11/2025,12-03-2025,2,Yes,No,MobileApp,27/12/2025,,Late delivery complaint
C10301,O200149,Rania Jabri,rania.jabri3@company.ma,+212654447132,Tangier,Tangier-Tetouan-Al Hoceima,Enterprise,Home,Shelf,1,937.01,0,937.01,Wallet,Cancelled,07-14-2025,2025-07-23,4,Yes,N,CRM_B,08-05-2025,backup@example.com,
C10347,O200682,Mehdi Tazi,mehdi.tazi58@company.ma,+212619838638,casa,Casablanca-Settat,Student,Fashion,Jacket,2,2061.9,0,4123.8,transfer,Returned,2025-01-11,2025/01/18 07:56:00,1,Y,Yes,WebShop,2025/02/07 07:56:00,,VIP client
C10034,O200608,Amina Labser,amina.labser77@gmail.com,+212665569816,Casa  ,Casablanca-Settat,Student,Home,Lamp,5,2295.61,10,10330.25,cash,delivered,2025/10/26 08:32:00,2025-11-05,,N,N,ERP_A,07/11/2025,,VIP client
C10077,O200493,Nour Alaoui,nour.alaoui77@outlook.com,+212682146584,Khouribga,Beni Mellal-Khenifra,SME,Fashion,Shoes,1,3253.29,0,3253.29,eWallet,Cancelled,2025/08/21 16:49:00,28/08/2025,5,N,Yes,ERP_A,2025/08/31 16:49:00,,
C10011,O200869,  Hamza Jabri  ,hamza.jabri82@company.ma,+212689325288,RABAT,Rabat-Sale-Kenitra,Retail,Grocery,Rice,3,1601.08,0,4803.24,transfer,RETURNED,29/08/2025,2025/09/08 06:02:00,2,N,Yes,MobileApp,2025/09/26 06:02:00,,
C10293,O200228,MERYEM MANSOURI,meryem.mansouri6@yahoo.com,+212647743490,Marrakesh,Marrakesh-Safi,SME,Home,Lamp,3,2128.19,15,5426.88,Card,pending,11-14-2025,2025-11-18,5,N,Y,WebShop,2025/11/18 14:11:00,,Late delivery complaint
C10068,O201130,Nadia Jabri,nadia.jabri10@outlook.com,+212602499471,Tanger,Tangier-Tetouan-Al Hoceima,Student,Beauty,Cream,5,1124.4,5,5340.9,wallet,RETURNED,17/09/2025,19/09/2025,2,1,False,CRM_B,09-24-2025,,Late delivery complaint
C10076,O200676,Omar Rahmani,omar.rahmani92@yahoo.com,+212648467737, marrakech ,Marrakesh-Safi,Student,Fashion,T-Shirt,4,3374.01,20,10796.83,Cash,PENDING,09-16-2025,09-21-2025,,1,Y,MobileApp,10-02-2025,,
C10013,O200495,Aya El Fassi,aya.el98@gmail.com,+212682278248,OUJDA,Oriental,Enterprise,Beauty,Shampoo,1,2718.78,0,2718.78,Cash,Cancelled,2025/06/17 10:59:00,2025/06/21 10:59:00,4,Y,No,CRM_B,2025-06-17,,
C10064,O200416,Mehdi Bennani,mehdi.bennani72@gmail.com,+212669993867,Fez,Fes-Meknes,Retail,Grocery,Olive Oil,1,3592.6,20,2874.08,Transfer,pending,2025/03/03 14:56:00,10/03/2025,,0,Y,ERP_A,2025-03-26,,
C10110,O200858,Sara Rahmani,sara.rahmani57@company.ma,+212667976438, rabat,Rabat-Sale-Kenitra,SME,Home,Desk,1,4601.43,10,4141.29,Transfer,cancelled,09/01/2025,01-19-2025,,0,False,CRM_B,01-14-2025,,
C10149,O200732,Karim Cherkaoui,karim.cherkaoui9@gmail.com,+212646786691, marrakech ,Marrakesh-Safi,SME,Grocery,Rice,1,683.49,20,546.79,Transfer,DELIVERED,2025-09-21,2025/09/24 23:45:00,2,No,False,ERP_A,27/09/2025,,
C10322,O200035,Amine Bennani,amine.bennani49@gmail.com,+212648909010,Agadir  ,Souss-Massa,Enterprise,Beauty,Cream,5,1528.17,10,6876.77,Cash,pending,2025-10-18,2025/10/20 01:25:00,4,0,N,ERP_A,26/10/2025,,Late delivery complaint
C10181,O200859,Mehdi Mansouri,mehdi.mansouri18@outlook.com,+212672795687,Fez,Fes-Meknes,Retail,Grocery,Coffee,4,947.88,10,3412.37,COD,Returned,22/06/2025,2025/06/23 06:23:00,1,0,True,ERP_A,06-30-2025,,Address unclear
C10094,O201068,Rania Bennani,rania.bennani69@outlook.com,+212626758692,RABAT,Rabat-Sale-Kenitra,Enterprise,Fashion,T-Shirt,2,4239.28,0,8478.56,Wallet,RETURNED,2025-10-09,10-14-2025,5,N,No,CRM_B,10-11-2025,,
C10035,O201044,Amina Tazi,N/A,+212660883561, tangier ,Tangier-Tetouan-Al Hoceima,Enterprise,Grocery,Rice,1,2393.85,20,1915.08,card,Returned,10-25-2025,11-03-2025,,No,False,MobileApp,2025-11-24,,Address unclear
C10229,O200995,Karim Mansouri,karim.mansouri15@yahoo.com,00212647859696,Fes,Fes-Meknes,Student,Grocery,Olive Oil,1,704.57,10,634.11,Bank Transfer,Cancelled,10/07/2025,07-19-2025,4,0,False,ERP_A,2025/07/15 18:31:00,,
C10242,O200332,Nour Idrissi,nour.idrissi28@yahoo.com,+212674545892,Fez,Fes-Meknes,Retail,Fashion,Bag,1,4701.55,10,4231.4,eWallet,pending,07/09/2025,,3,1,Y,WebShop,09-28-2025,,VIP client
C10220,O200763,Khadija El Fassi,khadija.el38@yahoo.com,+212616724342,Fes,Fes-Meknes,Enterprise,Home,Chair,2,2357.65,10,4243.77,CARD,Delivered,24/08/2025,2025-08-27,,0,False,ERP_A,2025/08/27 17:54:00,,
C10135,O200501,Youssef Boukili,youssef.boukili74@outlook.com,+212662185188,agadir,Souss-Massa,Retail,Beauty,Cream,1,3925.01,0,3920.01,CARD,Pending,15/01/2025,01-18-2025,1,Yes,No,WebShop,01-28-2025,,
C10150,O200365,Nadia Mansouri,nadia.mansouri60@yahoo.com,+212685289226,Rabat,Rabat-Sale-Kenitra,Enterprise,Home,Shelf,1,2986.48,10,2687.83,card,Delivered,2025-11-08,15/11/2025,1,Yes,True,ERP_A,15/11/2025,,Address unclear
C10292,O201100,Aya Cherkaoui,,+212677418625, rabat,Rabat-Sale-Kenitra,Student,Grocery,Olive Oil,1,1318.13,15,1120.41,Transfer,cancelled,17/09/2025,2025-09-27,,0,No,CRM_B,11/10/2025,,Address unclear
C10245,O200762,Karim Rahmani,karim.rahmani51@gmail.com,+212643611037,N/A,Marrakesh-Safi,Enterprise,Beauty,Cream,2,1197.16,0,2394.32,transfer,DELIVERED,01-26-2026,29/01/2026,4,Yes,False,ERP_A,2026-01-31,backup@example.com,
C10159,O200842,Aya Idrissi,aya.idrissi28 at outlook.com,+212695004797,OUJDA,Oriental,SME,Electronics,Monitor,2,1134.19,10,2041.54,Bank Transfer,pending,2025/06/23 07:56:00,2025/06/26 07:56:00,,Yes,True,WebShop,2025/06/30 07:56:00,,
C10073,O200614,Imane Labser,imane.labser99@gmail.com,+212668087603,agadir,Souss-Massa,SME,Electronics,Monitor,1,3948.83,0,3948.83,COD,Cancelled,22/04/2025,2025/04/29 10:22:00,4,1,Yes,MobileApp,2025-05-12,imane.labser99@gmail.com,VIP client
C10188,O200705,  Youssef Ait Lahcen  ,youssef.ait60@company.ma,+212686863375,Casa  ,Casablanca-Settat,SME,Home,Lamp,2,123.42,5,234.5,Cash,Returned,14/08/2025,2025/08/19 14:38:00,,N,False,MobileApp,2025/09/02 14:38:00,,
C10069,O201149,Khadija El Fassi,khadija.el35@yahoo.com,+212688771906, tangier ,Tangier-Tetouan-Al Hoceima,Retail,Home,Lamp,1,196.28,0,196.28,Cash,Canceled,2025/04/29 18:08:00,02/05/2025,2,0,Yes,ERP_A,05-26-2025,,
C10239,O200813,Mehdi Labser,mehdi.labser18@gmail.com,+212660422325,Tanger,Tangier-Tetouan-Al Hoceima,SME,Fashion,Jacket,3,2211.74,10,5971.7,CARD,cancelled,27/01/2026,2026-01-30,4,Yes,N,MobileApp,2026/02/14 07:21:00,,
C10118,O200820,Rania Cherkaoui,rania.cherkaoui81@company.ma,+212652717744,OUJDA,Oriental,SME,Electronics,Phone,1,4913.53,0,4913.53,card,Delivered,13/12/2025,12-18-2025,3,Y,Yes,CRM_B,26/12/2025,,VIP client
C10242,O200225,Nour Idrissi,nour.idrissi28@yahoo.com,+212674545892, fes,Fes-Meknes,Student,Home,Lamp,1,4115.3,10,3703.77,Wallet,RETURNED,02-11-2026,2026/02/21 07:04:00,1,Yes,Yes,ERP_A,02-21-2026,,Address unclear
C10262,O200461,Mehdi Ait Lahcen,mehdi.ait12@company.ma,+212687053494,Tanger,Tangier-Tetouan-Al Hoceima,Retail,Electronics,Headphones,2,2135.75,0,4271.5,card,Canceled,04-05-2025,07/04/2025,5,1,False,CRM_B,2025/04/16 23:16:00,,
C10148,O200373,Amine Ait Lahcen,,+212632370589,,Souss-Massa,Enterprise,Beauty,Perfume,2,2454.65,0,4909.3,cash,Delivered,02-14-2026,02-22-2026,4,Y,N,ERP_A,03-07-2026,,
C10267,O200222,Imane Jabri,imane.jabri41@company.ma,+212674313291,Khouribga  ,Beni Mellal-Khenifra,Student,Fashion,Jacket,1,4960.08,15,4216.07,Wallet,RETURNED,12-14-2025,19/12/2025,,0,Y,ERP_A,2026/01/10 17:39:00,,Address unclear
C10286,O200027,Youssef El Amrani,youssef.el94@yahoo.com,+212662676586,khouribga,Beni Mellal-Khenifra,Enterprise,Beauty,Cream,3,4817.91,0,14453.73,Credit Card,pending,2025-04-26,2025-05-04,5,Yes,True,ERP_A,06/05/2025,backup@example.com,Address unclear
C10214,O200972,Nour Bennani,N/A,+212646618398,Agadir,Souss-Massa,Student,Electronics,Laptop,3,1755.92,0,5267.76,Card,RETURNED,27/05/2025,2025/06/03 21:55:00,2,No,Y,ERP_A,09/06/2025,,VIP client
